2026-09-03 14:32:35.062 INFO  [main] c.p.mcp.InfinityRulesMcpApplication - Started InfinityRulesMcpApplication in 9.612 seconds (process running for 12.166)
2026-09-03 14:32:35.080 INFO  [main] c.pega.mcp.config.PegaConfigLogger - Pega configuration resolved:
2026-09-03 14:32:35.080 INFO  [main] c.pega.mcp.config.PegaConfigLogger -   base-url          = https://cognizant25.pegalabs.io
2026-09-03 14:32:35.080 INFO  [main] c.pega.mcp.config.PegaConfigLogger -   servlet-name      = <not set>
2026-09-03 14:32:35.080 INFO  [main] c.pega.mcp.config.PegaConfigLogger -   oauth.client-id   = 34233104330833666523
2026-09-03 14:32:35.080 INFO  [main] c.pega.mcp.config.PegaConfigLogger -   skills.path             = C:/Users/sankh/.claude/plugins/cache/Pega/pega-infinity-authoring/0.0.3/resources/pega-skills
2026-09-03 14:32:35.080 INFO  [main] c.pega.mcp.config.PegaConfigLogger -   skills.custom-paths     = <not set>
2026-09-03 14:38:07.496 INFO  [main] c.p.mcp.InfinityRulesMcpApplication - Starting InfinityRulesMcpApplication v0.6.32 using Java 17.0.12 with PID 10044 (C:\Users\sankh\.claude\plugins\cache\Pega\pega-infinity-authoring\0.0.3\resources\infinity-rules-mcp.jar started by sankh in C:\Metis01)
2026-09-03 14:38:07.506 INFO  [main] c.p.mcp.InfinityRulesMcpApplication - The following 1 profile is active: "stdio"
2026-09-03 14:38:09.260 WARN  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerAutoConfiguration' of type [org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [serverAnnotatedMethodBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2026-09-03 14:38:09.266 WARN  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'serverAnnotatedBeanRegistry' of type [org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerAutoConfiguration$ServerMcpAnnotatedBeans] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [serverAnnotatedMethodBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
